Issuance Date,ARBOCs Added to Buffer,ARB Offset Credits Retired from Buffer,Forest Buffer Account Balance
12/22/2020,"635,020",,"27,930,054"
1/12/2021,"23,989",,"27,954,043"
1/26/2021,"124,612",,"28,078,655"
2/9/2021,"91,471",,"28,170,126"
2/23/2021,"365,033",,"28,535,159"
3/9/2021,"164,644",,"28,699,803"
3/23/2021,"10,643",,"28,710,446"
4/13/2021,"11,774","276,867","28,445,353"
4/27/2021,0,,"28,445,353"
5/11/2021,"71,589",,"28,516,942"
5/25/2021,"41,494",,"28,558,436"
6/8/2021,"20,532",,"28,578,968"
6/22/2021,"29,707",,"28,608,675"
7/13/2021,"183,884",,"28,792,559"
7/27/2021,"125,247",,"28,917,806"
8/10/2021,0,,"28,917,806"
8/24/2021,"135,530",,"29,053,336"
9/7/2021,0,,"29,053,336"
9/21/2021,"15,731",,"29,069,067"
10/12/2021,"448,256",,"29,517,323"
10/26/2021,"158,692",,"29,676,015"
11/9/2021,"10,036",,"29,686,051"
11/23/2021,"170,462",,"29,856,513"
12/7/2021,"9,837",,"29,866,350"
12/21/2021,"21,090",,"29,887,440"
1/11/2022,"14,180",,"29,901,620"
1/25/2022,"60,930","59,480","29,903,070"
2/8/2022,"6,353","9,683","29,899,740"
2/22/2022,"25,918",,"29,925,658"
3/8/2022,"32,493",,"29,958,151"
3/22/2022,"294,152",,"30,252,303"
4/12/2022,"145,426",,"30,397,729"
4/26/2022,"33,772",,"30,431,501"
5/10/2022,"2,362",,"30,433,863"
5/24/2022,0,,"30,433,863"
6/7/2022,"10,643",,"30,444,506"
6/21/2022,0,,"30,444,506"
7/12/2022,0,,"30,444,506"
7/26/2022,0,,"30,444,506"
8/9/2022,"17,492",,"30,461,998"
8/23/2022,"42,864",,"30,504,862"
9/13/2022,"203,276",,"30,708,138"
9/27/2022,"40,247",,"30,748,385"
10/11/2022,"61,706",,"30,810,091"
10/25/2022,"114,554",,"30,924,645"
11/8/2022,"20,374",,"30,945,019"
11/22/2022,0,,"30,945,019"
12/13/2022,"12,527",,"30,957,546"
12/27/2022,"20,106",,"30,977,652"
1/10/2023,0,,"30,977,652"
1/24/2023,"25,100","210,543","30,792,209"
2/7/2023,"7,426",,"30,799,635"
2/21/2023,"87,473",,"30,887,108"
3/7/2023,"23,299",,"30,910,407"
3/21/2023,0,,"30,910,407"
4/11/2023,"15,428","292,258","30,633,577"
4/25/2023,"13,319",,"30,646,896"
5/9/2023,"56,487",,"30,703,383"
5/23/2023,"351,645",,"31,055,028"
6/13/2023,"7,261",,"31,062,289"
6/27/2023,"107,121",,"31,169,410"
7/11/2023,0,,"31,169,410"
7/25/2023,"69,004",,"31,238,414"
8/8/2023,"341,819",,"31,580,233"
8/22/2023,"8,396",,"31,588,629"
9/12/2023,"93,462",,"31,682,091"
